University Name,City,State,Zip,URL,Bachelors,Masters,DNP,Post-Grad
Bloomsburg University of Pennsylvania,Bloomsburg,PA,zip,"http://www.bloomu.edu",1,1,1,0
Bluefield State College,Bluefield,WV,zip,"http://www.bluefieldstate.edu",1,0,0,0
Bluefield University,Bluefield,VA,zip,"http://www.bluefield.edu/academics",1,1,0,1
Bluffton University,Bluffton,OH,zip,"https: / /www.bluffton.edu/nursing/index.aspx",1,0,0,0
Bob Jones University,Greenville,SC,zip,"http://www.bju.edu",1,0,0,0
Boise State University,Boise,ID,zip,"http://hs.boisestate.edu/nursing",1,1,1,0
Boise VA Medical Center,Richmond,VA,zip,"http://www.bsmcon.edu",1,0,0,0
Boston College,Chestnut Hill,MA,zip,"http://www.bc.edu/cson",1,1,1,0
Bowling Green State University,Bowling Green,OH,zip,"https://www.bgsu.edu/rntobsn",1,0,0,0
Bowling Green State University,Bowling Green,OH,zip,"https://www.bgsu.edu/rntobsn",0,0,0,0
Bradley University,Peoria,IL,zip,"http://www.bradley.edu/academic/departments/nursing/",1,1,1,1
Brenau University,Gainesville,GA,zip,"http://www.brenau.edu",1,1,1,1
Briar Cliff University,Sioux City,IA,zip,"http://www.briarcliff.edu",1,1,1,1
Brigham Young University,Provo,UT,zip,"http://www.byu.edu",1,1,0,0
Brigham Young University-Idaho,Rexburg,ID,zip,"http://www.byui.edu",1,0,0,0
Brookline College,Phoenix,AZ,zip,"http://brooklinecollege.edu/college-programs/nursing/",1,0,0,0
Broward College,Mirimar,FL,zip,"http://www.broward.edu/bsn",1,0,0,0
Bryant & Stratton College-Online Education,Orchard Park,NY,zip,"https://www.bryantstratton.edu/degrees/bachelor-degrees",1,0,0,0
Bryant & Stratton College-Parma,Parma,OH,zip,"http://www.bryantstratton.edu",1,0,0,0
Bryant & Stratton College-Wauwatosa,Wauwatosa,WI,zip,"http://www.bryantstratton.edu",1,0,0,0
Bushnell University,Eugene,OR,zip,"https://www.bushnell.edu/academics/undergraduate/majors-minors/absn/",1,1,0,0
